id,name,state,population,population_year,geography,status,distance_from_link_km,kind,url,evidence_url,verification,access
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,department-page,https://www.alamedaca.gov/Departments/Police-Department/Crime-Activity,https://www.alamedaca.gov/Home,official-domain-or-referral,public-html
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,alerts,https://www.alamedaca.gov/RESIDENTS/Alerts-Advisories,https://www.alamedaca.gov/Departments/Police-Department/Crime-Activity,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,incident-log,https://alameda.citizenrims.com/map,https://www.alamedaca.gov/Departments/Police-Department/Crime-Activity,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,incident-log,https://www.alamedaca.gov/files/assets/public/v/27/departments/alameda/police/hate-crime-stats/apd-hate-crime-log-2023-present-june-2026.pdf,https://www.alamedaca.gov/Departments/Police-Department/Crime-Activity,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,incident-log,https://www.alamedaca.gov/files/assets/public/v/2/departments/alameda/police/hate-crime-log-public.xlsx.pdf,https://www.alamedaca.gov/Departments/Police-Department/Crime-Activity,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,department-page,https://www.alamedaca.gov/Shortcut-Content/News-Media,https://www.alamedaca.gov/Departments/Police-Department/Crime-Activity,official-domain-or-referral,public-html
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,newsroom,https://www.alamedaca.gov/Shortcut-Content/News-Media/City-of-Alameda-Making-Library-Access-Easier-for-Students,https://www.alamedaca.gov/Shortcut-Content/News-Media,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,newsroom,https://www.alamedaca.gov/Shortcut-Content/News-Media/Alameda-Free-Library-Event-Alert-September-2026,https://www.alamedaca.gov/Shortcut-Content/News-Media,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,newsroom,https://www.alamedaca.gov/Shortcut-Content/News-Media/Proposed-Commercial-Zoning-Changes,https://www.alamedaca.gov/Shortcut-Content/News-Media,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,newsroom,https://www.alamedaca.gov/Shortcut-Content/News-Media/Oakland-Alameda-Water-Shuttle-Returns,https://www.alamedaca.gov/Shortcut-Content/News-Media,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,newsroom,https://www.alamedaca.gov/Shortcut-Content/News-Media/Alameda-Police-Month-in-Review-July-2026,https://www.alamedaca.gov/Shortcut-Content/News-Media,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,newsroom,https://www.alamedaca.gov/Shortcut-Content/News-Media/Assault-with-a-Deadly-Weapon-Press-Release-8.15.2026,https://www.alamedaca.gov/Shortcut-Content/News-Media,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,alerts,https://www.alamedaca.gov/Shortcut-Content/News-Media/Traffic-Advisory-Oakland-Alameda-Water-Shuttle-Out-of-Service,https://www.alamedaca.gov/Shortcut-Content/News-Media,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,alerts,https://www.ebmud.com/customers/alerts/,https://www.alamedaca.gov/RESIDENTS/Alerts-Advisories,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,alerts,https://www.alamedaca.gov/RESIDENTS/ALERTS-COVID-19,https://www.alamedaca.gov/RESIDENTS/Alerts-Advisories,linked-from-official-page,not-tested
162:0600562,Alameda,CA,76876,2025,incorporated-place,channels-found,62.09,alerts,https://www.acgov.org/emergencysite/,https://www.alamedaca.gov/RESIDENTS/Alerts-Advisories,linked-from-official-page,not-tested
162:0600884,Alhambra,CA,79820,2025,incorporated-place,department-found,491.53,department-page,https://alhambraca.gov/271/Crime-Statistics,https://alhambraca.gov/271/Crime-Statistics,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0600884,Alhambra,CA,79820,2025,incorporated-place,department-found,491.53,department-page,https://www.alhambraca.gov/834/Police,https://www.alhambraca.gov/834/Police,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0600884,Alhambra,CA,79820,2025,incorporated-place,department-found,491.53,department-page,https://www.cityofalhambra.org/834,https://www.cityofalhambra.org/834,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0602000,Anaheim,CA,341008,2025,incorporated-place,department-found,533.93,department-page,https://pd.anaheim.net/,https://pd.anaheim.net/,reviewed-primary-web-source,search-readable; automation-unverified
162:0602252,Antioch,CA,118958,2025,incorporated-place,department-found,82.72,department-page,https://www.antiochca.gov/186/Police-Department,https://www.antiochca.gov/186/Police-Department,reviewed-primary-web-source,search-readable; automation-unverified
162:0602252,Antioch,CA,118958,2025,incorporated-place,department-found,82.72,department-page,https://www.antiochca.gov/police/contact-information/,https://www.antiochca.gov/police/contact-information/,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0602252,Antioch,CA,118958,2025,incorporated-place,department-found,82.72,department-page,https://www.antiochca.gov/446/Crime-Statistics,https://www.antiochca.gov/446/Crime-Statistics,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0602364,Apple Valley,CA,75247,2025,incorporated-place,channels-found,521.95,newsroom,https://www.applevalley.org/services/police-department/police-news,https://www.applevalley.org/services/police-department/police-news,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0602364,Apple Valley,CA,75247,2025,incorporated-place,channels-found,521.95,department-page,https://www.applevalleymn.gov/114/Police-Department,https://www.applevalleymn.gov/114/Police-Department,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0602364,Apple Valley,CA,75247,2025,incorporated-place,channels-found,521.95,nixle,https://local.nixle.com/sbsd---apple-valley-police-department/,https://local.nixle.com/city/ca/apple-valley/,certified-publisher-in-city-directory; jurisdiction-review-required,public-nixle-archive
162:0602462,Arcadia,CA,54117,2025,incorporated-place,channels-found,493.98,department-page,https://www.arcadiacapolice.gov/index.php,https://arcadiaca.gov/,official-domain-or-referral,public-html
162:0602462,Arcadia,CA,54117,2025,incorporated-place,channels-found,493.98,department-page,https://www.arcadiacapolice.gov/crime_trends/index.php,https://www.arcadiacapolice.gov/index.php,official-domain-or-referral,public-html
162:0602462,Arcadia,CA,54117,2025,incorporated-place,channels-found,493.98,department-page,https://www.arcadiacapolice.gov/about_us/index.php,https://arcadiaca.gov/,official-domain-or-referral,public-html
162:0602462,Arcadia,CA,54117,2025,incorporated-place,channels-found,493.98,department-page,https://www.arcadiacapolice.gov/services/weekly_police_activity.php,https://www.arcadiacapolice.gov/about_us/index.php,official-domain-or-referral,public-html
162:0602462,Arcadia,CA,54117,2025,incorporated-place,channels-found,493.98,department-page,https://www.arcadiacapolice.gov/services/request_a_police_record.php,https://www.arcadiacapolice.gov/services/request_a_police_record.php,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0602462,Arcadia,CA,54117,2025,incorporated-place,channels-found,493.98,department-page,https://www.arcadiacapolice.gov/about_us/contact_us.php,https://www.arcadiacapolice.gov/about_us/contact_us.php,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0602462,Arcadia,CA,54117,2025,incorporated-place,channels-found,493.98,department-page,https://www.arcadiaca.gov/government/police/services/index.php,https://www.arcadiaca.gov/government/police/services/index.php,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0602462,Arcadia,CA,54117,2025,incorporated-place,channels-found,493.98,nixle,https://local.nixle.com/arcadia-police-department/,https://local.nixle.com/city/ca/arcadia/,certified-publisher-in-city-directory; jurisdiction-review-required,public-nixle-archive
162:0603526,Bakersfield,CA,422165,2025,incorporated-place,department-found,334.55,department-page,https://www.gov.ca.gov/2024/04/30/chp-bakersfield-public-safety-2/,https://www.gov.ca.gov/2024/04/30/chp-bakersfield-public-safety-2/,search-discovered-primary-source; review-jurisdiction,search-readable; automation-unverified
162:0603666,Baldwin Park,CA,68880,2025,incorporated-place,channels-found,502.14,department-page,https://www.baldwinparkpolice.com/,https://www.baldwinpark.com/,discovered-department-page; review-jurisdiction,public-html
162:0603666,Baldwin Park,CA,68880,2025,incorporated-place,channels-found,502.14,alerts,https://www.baldwinparkpolice.com/AlertCenter.aspx,https://www.baldwinparkpolice.com/,linked-from-municipal-or-department-page; review-scope,not-tested
162:0603666,Baldwin Park,CA,68880,2025,incorporated-place,channels-found,502.14,facebook,https://www.facebook.com/BaldwinParkPD/,https://www.baldwinparkpolice.com/,linked-from-municipal-or-department-page; review-scope,not-tested
162:0603666,Baldwin Park,CA,68880,2025,incorporated-place,channels-found,502.14,instagram,https://www.instagram.com/baldwinparkpd/,https://www.baldwinparkpolice.com/,linked-from-municipal-or-department-page; review-scope,not-tested
162:0603666,Baldwin Park,CA,68880,2025,incorporated-place,channels-found,502.14,alerts,https://www.baldwinparkpolice.com/List.aspx,https://www.baldwinparkpolice.com/AlertCenter.aspx,linked-from-municipal-or-department-page; review-scope,not-tested
162:0603666,Baldwin Park,CA,68880,2025,incorporated-place,channels-found,502.14,feed-directory,https://www.baldwinparkpolice.com/Rss.aspx,https://www.baldwinparkpolice.com/AlertCenter.aspx,linked-from-municipal-or-department-page; review-scope,not-tested
162:0603666,Baldwin Park,CA,68880,2025,incorporated-place,channels-found,502.14,alerts,https://www.baldwinparkpolice.com/list.aspx?Mode=Subscribe,https://www.baldwinparkpolice.com/AlertCenter.aspx,linked-from-municipal-or-department-page; review-scope,not-tested
162:0604758,Beaumont,CA,60835,2025,incorporated-place,channels-found,586.24,department-page,https://beaumontca.gov/1366/Police,https://beaumontca.gov/,official-domain-or-referral,public-html
